#
#   File Created by py.Aroma 5
#   Author: Zhe Wang (Ph.D.)
#   https://wongzit.github.com/program/pyaroma/
#

XY,-4.89,-4.79,-4.69,-4.59,-4.49,-4.39,-4.29,-4.19,-4.09,-3.99,-3.89,-3.79,-3.69,-3.59,-3.49,-3.39,-3.29,-3.19,-3.09,-2.99,-2.89,-2.79,-2.69,-2.59,-2.49,-2.39,-2.29,-2.19,-2.09,-1.99,-1.89,-1.79,-1.69,-1.59,-1.49,-1.39,-1.29,-1.19,-1.09,-0.99,-0.89,-0.79,-0.69,-0.59,-0.49,-0.39,-0.29,-0.19,-0.09,0.01,0.11,0.21,0.31,0.41,0.51,0.61,0.71,0.81,0.91,1.01,1.11,1.21,1.31,1.41,1.51,1.61,1.71,1.81,1.91,2.01,2.11,2.21,2.31,2.41,2.51,2.61,2.71,2.81,2.91,3.01,3.11,3.21,3.31,3.41,3.51,3.61,3.71,3.81,3.91,4.01,4.11,4.21,4.31,4.41,4.51,4.61,4.71,4.81,4.91,
-4.0,-1.3558,-1.4055,-1.4568,-1.5099,-1.5646,-1.6211,-1.6792,-1.7389,-1.8003,-1.8631,-1.9275,-1.9934,-2.0605,-2.1289,-2.1985,-2.269,-2.3403,-2.4123,-2.4845,-2.5569,-2.6289,-2.7003,-2.7707,-2.8398,-2.907,-2.9721,-3.0348,-3.0948,-3.1518,-3.2058,-3.2569,-3.3051,-3.3506,-3.3938,-3.4351,-3.4747,-3.5131,-3.5504,-3.5868,-3.622,-3.656,-3.6882,-3.7181,-3.7454,-3.7693,-3.7894,-3.8053,-3.8168,-3.8234,-3.8252,-3.8221,-3.8142,-3.8016,-3.7844,-3.7631,-3.738,-3.7096,-3.6784,-3.6448,-3.6095,-3.5728,-3.5348,-3.4956,-3.4554,-3.4138,-3.3706,-3.3255,-3.2782,-3.2283,-3.1757,-3.1204,-3.0622,-3.0014,-2.9381,-2.8725,-2.805,-2.736,-2.6657,-2.5946,-2.523,-2.4513,-2.3797,-2.3085,-2.238,-2.1683,-2.0997,-2.0322,-1.966,-1.9012,-1.8378,-1.7759,-1.7156,-1.6568,-1.5997,-1.5442,-1.4903,-1.4382,-1.3877,-1.3388,
-3.9,-1.4056,-1.4584,-1.5131,-1.5696,-1.628,-1.6883,-1.7505,-1.8145,-1.8804,-1.9479,-2.0172,-2.0882,-2.1607,-2.2346,-2.3099,-2.3862,-2.4635,-2.5414,-2.6197,-2.6979,-2.7756,-2.8523,-2.9277,-3.0011,-3.072,-3.14,-3.2047,-3.2657,-3.3228,-3.3761,-3.4257,-3.4718,-3.5151,-3.5562,-3.5958,-3.6347,-3.6735,-3.7126,-3.7522,-3.7921,-3.8319,-3.8707,-3.9077,-3.9419,-3.9724,-3.9983,-4.019,-4.0341,-4.043,-4.0457,-4.042,-4.0322,-4.0163,-3.9947,-3.968,-3.9367,-3.9016,-3.8635,-3.8235,-3.7824,-3.7408,-3.6991,-3.6576,-3.6164,-3.5749,-3.5327,-3.489,-3.4432,-3.3948,-3.3432,-3.2882,-3.2296,-3.1675,-3.1021,-3.0336,-2.9625,-2.8891,-2.8141,-2.7378,-2.6607,-2.5832,-2.5058,-2.4288,-2.3525,-2.2772,-2.203,-2.1302,-2.0588,-1.989,-1.9208,-1.8543,-1.7896,-1.7267,-1.6656,-1.6063,-1.5489,-1.4933,-1.4396,-1.3877,
-3.8,-1.4573,-1.5134,-1.5716,-1.6318,-1.6942,-1.7586,-1.8252,-1.8938,-1.9644,-2.0371,-2.1117,-2.1882,-2.2666,-2.3466,-2.4281,-2.5109,-2.5948,-2.6793,-2.7642,-2.8489,-2.9328,-3.0153,-3.0958,-3.1736,-3.248,-3.3183,-3.384,-3.4447,-3.5001,-3.5504,-3.5958,-3.6369,-3.6749,-3.7108,-3.7461,-3.7822,-3.8201,-3.8607,-3.9042,-3.9503,-3.998,-4.0461,-4.0931,-4.1374,-4.1772,-4.2115,-4.239,-4.2591,-4.2713,-4.2752,-4.2709,-4.2584,-4.238,-4.2102,-4.1758,-4.1357,-4.0911,-4.0434,-3.9943,-3.9452,-3.8971,-3.8511,-3.8074,-3.7661,-3.7266,-3.6875,-3.6479,-3.6066,-3.5623,-3.5143,-3.4618,-3.4046,-3.3425,-3.2759,-3.2051,-3.1306,-3.053,-2.9729,-2.8911,-2.808,-2.7243,-2.6405,-2.5571,-2.4744,-2.3928,-2.3125,-2.2338,-2.1568,-2.0815,-2.0081,-1.9367,-1.8672,-1.7998,-1.7345,-1.6711,-1.6099,-1.5507,-1.4935,-1.4384,
-3.7,-1.5109,-1.5705,-1.6324,-1.6966,-1.7631,-1.8319,-1.9032,-1.9767,-2.0526,-2.1307,-2.2111,-2.2937,-2.3784,-2.465,-2.5534,-2.6434,-2.7346,-2.8266,-2.9188,-3.0107,-3.1014,-3.1902,-3.2762,-3.3584,-3.4359,-3.5077,-3.5731,-3.6315,-3.6827,-3.7266,-3.7639,-3.7958,-3.8238,-3.8502,-3.8773,-3.9074,-3.9425,-3.984,-4.0323,-4.0866,-4.1456,-4.207,-4.2684,-4.3269,-4.3802,-4.4262,-4.4634,-4.4906,-4.5073,-4.513,-4.5077,-4.4915,-4.4648,-4.4283,-4.3831,-4.3305,-4.2724,-4.2111,-4.149,-4.0887,-4.0321,-3.9807,-3.935,-3.8952,-3.8602,-3.8279,-3.7964,-3.7637,-3.7276,-3.6867,-3.64,-3.5866,-3.5266,-3.4602,-3.3879,-3.3104,-3.2286,-3.1433,-3.0554,-2.9657,-2.8751,-2.7843,-2.6937,-2.604,-2.5154,-2.4285,-2.3433,-2.26,-2.1788,-2.0998,-2.023,-1.9485,-1.8763,-1.8063,-1.7387,-1.6734,-1.6103,-1.5495,-1.491,
-3.6,-1.5663,-1.6296,-1.6955,-1.7638,-1.8348,-1.9084,-1.9845,-2.0633,-2.1448,-2.2288,-2.3154,-2.4046,-2.4962,-2.5901,-2.6862,-2.7841,-2.8834,-2.9836,-3.0841,-3.1839,-3.2823,-3.378,-3.4698,-3.5564,-3.6365,-3.7088,-3.7722,-3.8257,-3.869,-3.902,-3.9259,-3.9423,-3.9539,-3.9644,-3.9775,-3.9971,-4.0266,-4.0681,-4.1223,-4.1881,-4.263,-4.3435,-4.4253,-4.5043,-4.5766,-4.6392,-4.6899,-4.7271,-4.7499,-4.7581,-4.7515,-4.7302,-4.6949,-4.6462,-4.5858,-4.5156,-4.4383,-4.3575,-4.277,-4.201,-4.1324,-4.0741,-4.0269,-3.9909,-3.9643,-3.9439,-3.9264,-3.9083,-3.8864,-3.8578,-3.8211,-3.7752,-3.7198,-3.6554,-3.5827,-3.5028,-3.4168,-3.326,-3.2316,-3.1348,-3.0365,-2.9377,-2.8392,-2.7416,-2.6454,-2.551,-2.4587,-2.3687,-2.2811,-2.196,-2.1134,-2.0334,-1.9561,-1.8812,-1.809,-1.7393,-1.6722,-1.6076,-1.5454,
-3.5,-1.6236,-1.6909,-1.7608,-1.8336,-1.9093,-1.9878,-2.0692,-2.1536,-2.241,-2.3313,-2.4246,-2.5208,-2.62,-2.7219,-2.8263,-2.9329,-3.0413,-3.1508,-3.2605,-3.3694,-3.4762,-3.5795,-3.6776,-3.7687,-3.8509,-3.9224,-3.9815,-4.0268,-4.0574,-4.0736,-4.0766,-4.0691,-4.0553,-4.0408,-4.0317,-4.0345,-4.0542,-4.0946,-4.1565,-4.2383,-4.3358,-4.4434,-4.5543,-4.6622,-4.7612,-4.8469,-4.9162,-4.967,-4.9984,-5.01,-5.0015,-4.9733,-4.926,-4.8606,-4.779,-4.6841,-4.5798,-4.4713,-4.3648,-4.2664,-4.1814,-4.1139,-4.0658,-4.0369,-4.0244,-4.0232,-4.028,-4.0331,-4.0331,-4.0241,-4.0035,-3.9696,-3.9222,-3.8621,-3.7905,-3.7087,-3.6187,-3.5221,-3.4206,-3.3157,-3.2089,-3.1012,-2.9938,-2.8875,-2.7828,-2.6803,-2.5802,-2.4828,-2.3883,-2.2966,-2.2079,-2.1221,-2.0392,-1.9592,-1.8821,-1.8078,-1.7363,-1.6676,-1.6016,
-3.4,-1.6828,-1.7541,-1.8285,-1.9059,-1.9864,-2.0702,-2.1572,-2.2474,-2.341,-2.438,-2.5384,-2.6423,-2.7495,-2.86,-2.9736,-3.09,-3.2084,-3.3282,-3.4483,-3.5674,-3.6838,-3.7956,-3.9005,-3.9962,-4.08,-4.1492,-4.2013,-4.234,-4.2461,-4.2375,-4.21,-4.1673,-4.1159,-4.0642,-4.0219,-3.9987,-4.0032,-4.0408,-4.113,-4.2171,-4.3465,-4.4923,-4.6441,-4.7922,-4.9282,-5.0456,-5.1402,-5.2095,-5.2523,-5.2683,-5.2574,-5.2198,-5.1563,-5.0681,-4.9575,-4.8284,-4.6865,-4.5392,-4.3959,-4.2661,-4.158,-4.0784,-4.0301,-4.0129,-4.0223,-4.0506,-4.089,-4.1288,-4.1618,-4.1817,-4.1848,-4.169,-4.134,-4.0811,-4.0122,-3.9294,-3.8354,-3.7325,-3.6231,-3.5092,-3.3927,-3.2751,-3.1578,-3.0417,-2.9276,-2.8161,-2.7076,-2.6022,-2.5002,-2.4015,-2.3062,-2.2142,-2.1255,-2.0401,-1.9578,-1.8787,-1.8027,-1.7297,-1.6597,
-3.3,-1.7438,-1.8194,-1.8983,-1.9805,-2.0662,-2.1554,-2.2481,-2.3445,-2.4447,-2.5487,-2.6565,-2.7684,-2.8843,-3.0042,-3.1277,-3.2547,-3.3843,-3.5157,-3.6475,-3.7781,-3.9053,-4.0267,-4.1393,-4.2398,-4.3246,-4.3898,-4.4316,-4.4469,-4.4332,-4.39,-4.3196,-4.2274,-4.1224,-4.0173,-3.9268,-3.8659,-3.8476,-3.8803,-3.9665,-4.1015,-4.2754,-4.4742,-4.6826,-4.8858,-5.0719,-5.232,-5.3604,-5.4541,-5.5119,-5.5337,-5.5195,-5.4695,-5.3845,-5.2658,-5.1161,-4.9405,-4.747,-4.5462,-4.3518,-4.1781,-4.0381,-3.9419,-3.8945,-3.8952,-3.9371,-4.0085,-4.0958,-4.1855,-4.2653,-4.3264,-4.3631,-4.3727,-4.3553,-4.313,-4.2487,-4.1656,-4.0675,-3.9578,-3.8395,-3.7154,-3.588,-3.4593,-3.3308,-3.2039,-3.0795,-2.9582,-2.8405,-2.7266,-2.6166,-2.5105,-2.4083,-2.3098,-2.215,-2.1238,-2.0362,-1.952,-1.8712,-1.7938,-1.7195,
-3.2,-1.8065,-1.8865,-1.9701,-2.0574,-2.1484,-2.2432,-2.3419,-2.4446,-2.5515,-2.6626,-2.7783,-2.8986,-3.0236,-3.1534,-3.2877,-3.4262,-3.5681,-3.7123,-3.8573,-4.0009,-4.1405,-4.2728,-4.394,-4.4998,-4.585,-4.6445,-4.6727,-4.6647,-4.6166,-4.5273,-4.399,-4.2392,-4.0606,-3.8815,-3.7236,-3.6094,-3.5586,-3.5841,-3.6891,-3.8668,-4.1018,-4.3731,-4.6579,-4.9352,-5.1879,-5.4041,-5.5766,-5.7019,-5.779,-5.8082,-5.7896,-5.7235,-5.6106,-5.4519,-5.2505,-5.013,-4.7501,-4.4768,-4.2125,-3.9786,-3.7946,-3.676,-3.6306,-3.6573,-3.7455,-3.8778,-4.0335,-4.1925,-4.3369,-4.454,-4.5361,-4.58,-4.5863,-4.5584,-4.5006,-4.418,-4.3157,-4.1982,-4.0699,-3.9343,-3.7945,-3.6532,-3.5124,-3.3735,-3.2378,-3.1059,-2.9784,-2.8554,-2.737,-2.6231,-2.5136,-2.4084,-2.3073,-2.2102,-2.117,-2.0276,-1.9418,-1.8597,-1.7811,
