#
#   File Created by py.Aroma 5
#   Author: Zhe Wang (Ph.D.)
#   https://wongzit.github.com/program/pyaroma/
#

XY,-3.95,-3.85,-3.75,-3.65,-3.55,-3.45,-3.35,-3.25,-3.15,-3.05,-2.95,-2.85,-2.75,-2.65,-2.55,-2.45,-2.35,-2.25,-2.15,-2.05,-1.95,-1.85,-1.75,-1.65,-1.55,-1.45,-1.35,-1.25,-1.15,-1.05,-0.95,-0.85,-0.75,-0.65,-0.55,-0.45,-0.35,-0.25,-0.15,-0.05,0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,1.05,1.15,1.25,1.35,1.45,1.55,1.65,1.75,1.85,1.95,2.05,2.15,2.25,2.35,2.45,2.55,2.65,2.75,2.85,2.95,3.05,3.15,3.25,3.35,3.45,3.55,3.65,3.75,3.85,3.95,4.05,4.15,4.25,4.35,4.45,4.55,4.65,4.75,4.85,
-4.03,-0.9377,-0.9684,-0.9998,-1.0321,-1.0651,-1.0989,-1.1335,-1.1689,-1.205,-1.2417,-1.2793,-1.3175,-1.3563,-1.3959,-1.4362,-1.4772,-1.5188,-1.5612,-1.6043,-1.6481,-1.6926,-1.7379,-1.7839,-1.8305,-1.8778,-1.9257,-1.9741,-2.0229,-2.0719,-2.1211,-2.1703,-2.2191,-2.2674,-2.3148,-2.3611,-2.4057,-2.4484,-2.4887,-2.5261,-2.5603,-2.5907,-2.617,-2.639,-2.6565,-2.6694,-2.678,-2.6824,-2.6832,-2.6809,-2.6761,-2.6693,-2.661,-2.6515,-2.6409,-2.6289,-2.6153,-2.5996,-2.5813,-2.5598,-2.5349,-2.5061,-2.4734,-2.4367,-2.3961,-2.3519,-2.3043,-2.2539,-2.201,-2.146,-2.0896,-2.032,-1.9738,-1.9154,-1.857,-1.799,-1.7415,-1.6849,-1.6292,-1.5746,-1.5211,-1.4689,-1.418,-1.3684,-1.3202,-1.2734,-1.228,-1.184,-1.1414,-1.1002,
-3.93,-0.9698,-1.002,-1.0351,-1.0691,-1.1039,-1.1395,-1.1761,-1.2134,-1.2515,-1.2905,-1.3302,-1.3707,-1.4121,-1.4542,-1.4971,-1.5408,-1.5853,-1.6307,-1.6769,-1.724,-1.772,-1.8209,-1.8706,-1.9212,-1.9725,-2.0245,-2.0772,-2.1304,-2.184,-2.2378,-2.2917,-2.3452,-2.3982,-2.4503,-2.5011,-2.5501,-2.5968,-2.6407,-2.6811,-2.7176,-2.7496,-2.7767,-2.7984,-2.8147,-2.8254,-2.8309,-2.8318,-2.8286,-2.8225,-2.8143,-2.805,-2.7952,-2.7855,-2.7757,-2.7658,-2.7549,-2.7423,-2.7272,-2.7087,-2.686,-2.6587,-2.6265,-2.5893,-2.5472,-2.5006,-2.4499,-2.3955,-2.3382,-2.2783,-2.2167,-2.1537,-2.09,-2.026,-1.9621,-1.8987,-1.836,-1.7743,-1.7138,-1.6545,-1.5966,-1.5402,-1.4852,-1.4318,-1.3799,-1.3296,-1.2809,-1.2338,-1.1882,-1.1443,
-3.83,-1.0025,-1.0364,-1.0711,-1.1068,-1.1434,-1.181,-1.2194,-1.2587,-1.299,-1.3401,-1.3821,-1.4251,-1.4689,-1.5136,-1.5593,-1.6059,-1.6535,-1.7021,-1.7518,-1.8024,-1.8542,-1.907,-1.9608,-2.0156,-2.0713,-2.1279,-2.1854,-2.2435,-2.302,-2.3609,-2.4199,-2.4786,-2.5368,-2.594,-2.6497,-2.7033,-2.7542,-2.8017,-2.8452,-2.8837,-2.9167,-2.9435,-2.9637,-2.977,-2.9835,-2.9836,-2.9782,-2.9686,-2.9561,-2.9426,-2.9293,-2.9175,-2.9077,-2.9001,-2.894,-2.8883,-2.8816,-2.8726,-2.8596,-2.8416,-2.8178,-2.7877,-2.7513,-2.7085,-2.66,-2.6062,-2.5479,-2.4858,-2.4206,-2.3532,-2.2842,-2.2144,-2.1443,-2.0743,-2.005,-1.9365,-1.8693,-1.8034,-1.7391,-1.6763,-1.6153,-1.5559,-1.4983,-1.4425,-1.3885,-1.3363,-1.2858,-1.2371,-1.1902,
-3.73,-1.0359,-1.0714,-1.1078,-1.1452,-1.1836,-1.2229,-1.2633,-1.3047,-1.347,-1.3903,-1.4346,-1.48,-1.5263,-1.5738,-1.6223,-1.672,-1.7228,-1.7749,-1.8282,-1.8828,-1.9386,-1.9957,-2.054,-2.1135,-2.1742,-2.2358,-2.2985,-2.3619,-2.426,-2.4905,-2.5551,-2.6195,-2.6834,-2.7461,-2.8071,-2.8656,-2.9209,-2.9721,-3.0183,-3.0583,-3.0913,-3.1165,-3.1331,-3.1409,-3.1399,-3.131,-3.1154,-3.0953,-3.0729,-3.0508,-3.0315,-3.0168,-3.0075,-3.0038,-3.0045,-3.0077,-3.0112,-3.0124,-3.0091,-2.9995,-2.9823,-2.9567,-2.9227,-2.8805,-2.8307,-2.7741,-2.7118,-2.6446,-2.5737,-2.4999,-2.4243,-2.3477,-2.2707,-2.194,-2.1181,-2.0433,-1.97,-1.8983,-1.8284,-1.7604,-1.6944,-1.6303,-1.5683,-1.5082,-1.4502,-1.3942,-1.3401,-1.2881,-1.2379,
-3.63,-1.0698,-1.1068,-1.1448,-1.1839,-1.224,-1.2652,-1.3074,-1.3507,-1.395,-1.4404,-1.487,-1.5347,-1.5836,-1.6338,-1.6853,-1.7382,-1.7924,-1.8482,-1.9054,-1.9642,-2.0246,-2.0864,-2.1497,-2.2145,-2.2806,-2.3479,-2.4164,-2.4857,-2.5559,-2.6265,-2.6974,-2.7681,-2.8381,-2.9069,-2.9736,-3.0374,-3.0972,-3.152,-3.2004,-3.2411,-3.2727,-3.2941,-3.3042,-3.3027,-3.2898,-3.2665,-3.2349,-3.1983,-3.1603,-3.1252,-3.0967,-3.0777,-3.0697,-3.0726,-3.0845,-3.1023,-3.1221,-3.1401,-3.1524,-3.1564,-3.1501,-3.1325,-3.1035,-3.0635,-3.0134,-2.9545,-2.8881,-2.8156,-2.7383,-2.6576,-2.5745,-2.4903,-2.4057,-2.3216,-2.2384,-2.1566,-2.0766,-1.9986,-1.9228,-1.8491,-1.7777,-1.7085,-1.6417,-1.5771,-1.5148,-1.4547,-1.3968,-1.3412,-1.2877,
-3.53,-1.104,-1.1425,-1.1821,-1.2227,-1.2644,-1.3072,-1.3511,-1.3961,-1.4423,-1.4897,-1.5384,-1.5883,-1.6397,-1.6926,-1.7471,-1.8032,-1.861,-1.9207,-1.9822,-2.0457,-2.111,-2.1781,-2.247,-2.3177,-2.3899,-2.4635,-2.5385,-2.6146,-2.6915,-2.7691,-2.847,-2.9246,-3.0015,-3.0768,-3.1497,-3.2191,-3.2835,-3.3416,-3.3916,-3.4316,-3.4598,-3.4745,-3.4742,-3.4582,-3.4267,-3.3814,-3.3255,-3.2638,-3.2022,-3.1472,-3.1048,-3.0797,-3.0741,-3.0876,-3.1172,-3.1577,-3.2031,-3.2468,-3.2833,-3.3083,-3.319,-3.314,-3.2933,-3.2578,-3.2088,-3.1482,-3.0778,-2.9996,-2.9154,-2.8268,-2.7355,-2.6428,-2.5498,-2.4573,-2.3661,-2.2766,-2.1894,-2.1045,-2.0221,-1.9423,-1.8651,-1.7905,-1.7185,-1.6491,-1.5822,-1.5178,-1.4559,-1.3964,-1.3393,
-3.43,-1.1384,-1.1783,-1.2192,-1.2612,-1.3043,-1.3485,-1.3938,-1.4403,-1.4881,-1.5371,-1.5876,-1.6396,-1.6932,-1.7486,-1.806,-1.8654,-1.9269,-1.9908,-2.0569,-2.1254,-2.1963,-2.2694,-2.3446,-2.422,-2.5011,-2.582,-2.6644,-2.7481,-2.8328,-2.9181,-3.0038,-3.0892,-3.1737,-3.2563,-3.336,-3.4112,-3.4803,-3.5413,-3.5919,-3.6296,-3.6518,-3.6559,-3.6397,-3.6021,-3.5433,-3.4656,-3.3737,-3.2748,-3.1781,-3.0936,-3.0308,-2.9967,-2.9951,-3.0249,-3.0814,-3.1563,-3.2397,-3.3219,-3.3942,-3.4502,-3.486,-3.4999,-3.4921,-3.4639,-3.4178,-3.3562,-3.2819,-3.1975,-3.1056,-3.0084,-2.9078,-2.8056,-2.703,-2.6013,-2.5012,-2.4034,-2.3082,-2.2158,-2.1265,-2.0401,-1.9568,-1.8764,-1.7989,-1.7244,-1.6526,-1.5836,-1.5174,-1.4539,-1.3929,
-3.33,-1.1726,-1.2137,-1.2558,-1.2989,-1.3431,-1.3883,-1.4346,-1.4822,-1.531,-1.5813,-1.6331,-1.6867,-1.7422,-1.7998,-1.8599,-1.9224,-1.9878,-2.056,-2.1271,-2.2012,-2.2783,-2.3581,-2.4406,-2.5257,-2.6129,-2.7021,-2.7932,-2.8855,-2.9791,-3.0734,-3.168,-3.2622,-3.3553,-3.446,-3.533,-3.6145,-3.6883,-3.7517,-3.8018,-3.8351,-3.8478,-3.8363,-3.7974,-3.7291,-3.6314,-3.5075,-3.364,-3.2116,-3.0641,-2.9367,-2.844,-2.7972,-2.8015,-2.8557,-2.9518,-3.0769,-3.2157,-3.3533,-3.4768,-3.577,-3.6484,-3.689,-3.6995,-3.6823,-3.641,-3.5793,-3.5012,-3.4102,-3.3098,-3.2028,-3.0917,-2.9788,-2.8656,-2.7536,-2.6438,-2.5368,-2.4329,-2.3326,-2.2357,-2.1424,-2.0525,-1.966,-1.8828,-1.8028,-1.7259,-1.6521,-1.5813,-1.5135,-1.4485,
-3.23,-1.2065,-1.2485,-1.2914,-1.3352,-1.38,-1.4257,-1.4725,-1.5204,-1.5696,-1.6204,-1.6728,-1.7273,-1.7841,-1.8435,-1.9058,-1.9714,-2.0404,-2.1131,-2.1896,-2.2699,-2.354,-2.4417,-2.5326,-2.6266,-2.7233,-2.8223,-2.9234,-3.026,-3.1299,-3.2346,-3.3395,-3.4438,-3.5466,-3.6464,-3.7416,-3.8298,-3.9083,-3.9737,-4.0219,-4.0482,-4.0476,-4.0146,-3.9446,-3.8342,-3.6832,-3.4954,-3.2802,-3.0529,-2.8336,-2.6453,-2.5101,-2.445,-2.4582,-2.5474,-2.7001,-2.8965,-3.1135,-3.3285,-3.5229,-3.6836,-3.8035,-3.8803,-3.9157,-3.9136,-3.8794,-3.8186,-3.7366,-3.6383,-3.5282,-3.4101,-3.2872,-3.1623,-3.0373,-2.9139,-2.7934,-2.6764,-2.5633,-2.4543,-2.3496,-2.2488,-2.1521,-2.0592,-1.9699,-1.8842,-1.802,-1.7231,-1.6476,-1.5752,-1.506,
